,All groups ,,,,,,,,,,,,All groups ,Medical and dental staff ,,,,,,,,,,,,Medical and dental staff ,"Nursing, midwifery and health visiting staff ",,,,,,,,,,,,"Nursing, midwifery and health visiting staff ","Scientific, therapeutic and technical staff ",,,,,,,,,,,,"Scientific, therapeutic and technical staff ",Administration and estates staff ,,,,,,,,,,,,Administration and estates staff ,Ambulance staff ,,,,,,,,,,,,Ambulance staff ,Other staff (1),,,,,,,,,,,,Other staff (1)
Velindre ,0.359497,6.411025,11.803475,11.623727,11.443978,12.04314,11.503895,13.361294,13.301378,6.590773,1.07849,0.479329, ,0,0,6.17284,2.469136,13.580247,18.518519,19.753086,19.753086,12.345679,3.703704,2.469136,1.234568, ,0.248139,2.729529,13.399504,12.655087,9.677419,9.677419,11.91067,15.384615,14.143921,8.684864,0.744417,0.744417, ,0.383142,13.601533,16.283525,14.176245,14.750958,13.793103,8.812261,5.938697,9.003831,2.681992,0.383142,0.191571, ,0.491803,3.934426,8.52459,10.491803,10.327869,11.47541,13.278689,16.885246,15.245902,7.868852,1.147541,0.327869, ,0,0,0,0,0,0,0,0,0,0,0,0, ,0,1.886792,1.886792,5.660377,1.886792,9.433962,1.886792,20.754717,28.301887,18.867925,7.54717,1.886792, 
Welsh Ambulance Services ,1.034245,6.665134,10.825098,12.778672,10.687198,9.721903,13.077453,14.180648,12.456906,6.871983,1.516893,0.183866, ,0,0,0,0,0,0,0,0,0,100,0,0, ,0,0,6.746032,11.507937,11.111111,14.68254,15.079365,19.047619,12.698413,7.936508,0.793651,0.396825, ,0,0,11.111111,16.666667,16.666667,11.111111,11.111111,11.111111,5.555556,16.666667,0,0, ,1.954733,7.613169,12.242798,11.625514,11.213992,10.390947,11.213992,13.99177,11.728395,6.790123,0.925926,0.308642, ,0.838439,6.965495,10.738471,13.253789,10.48049,9.093841,13.544018,13.866495,12.705579,6.707514,1.709126,0.096743, ,0,0,0,12.5,0,12.5,0,12.5,12.5,12.5,25,12.5, 
Digital Health and Care Wales ,0.341588,6.490179,14.773698,12.467976,15.456874,13.578138,12.894962,13.065756,6.575576,2.988898,1.110162,0.256191, ,0,0,0,14.285714,14.285714,42.857143,0,28.571429,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0, ,0.345423,6.56304,14.939551,12.521589,15.544041,13.471503,12.953368,13.039724,6.476684,3.022453,0.863558,0.259067, ,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,16.666667,0,33.333333,0,50,0, 
Health Education and Improvement Wales ,0,7.738095,10.31746,11.111111,9.325397,17.65873,11.904762,13.293651,9.722222,6.746032,1.190476,0.992063, ,0,0,1.886792,1.886792,0,11.320755,16.981132,20.754717,24.528302,13.207547,3.773585,5.660377, ,0,0,0,0,15.384615,0,38.461538,7.692308,15.384615,23.076923,0,0, ,0,0,6.849315,5.479452,9.589041,27.39726,16.438356,19.178082,10.958904,2.739726,1.369863,0, ,0,10.714286,12.637363,14.010989,10.43956,17.307692,9.065934,11.538462,7.142857,6.043956,0.549451,0.549451, ,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,50,0,0,0,50,0, 
NHS Wales Shared Services Partnership ,0.223483,12.893244,22.503008,22.967165,12.377514,7.237408,5.260444,6.446622,5.793364,3.214715,0.722022,0.361011, ,0,15.375723,31.32948,32.023121,13.583815,4.508671,2.023121,0.578035,0.491329,0.086705,0,0, ,0,0,0,0,0,25,0,0,75,0,0,0, ,0,56.687898,12.101911,8.280255,3.184713,4.458599,5.732484,4.458599,3.184713,1.273885,0.636943,0, ,0.681818,6.420455,11.306818,10.738636,12.556818,12.727273,10.795455,15.965909,12.670455,5,0.965909,0.170455, ,0,0,0,0,0,0,0,0,0,0,0,0, ,0.229358,3.669725,1.605505,5.963303,5.504587,7.568807,8.486239,15.366972,20.412844,21.559633,5.504587,4.12844, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Some healthcare assistants, other support staff, and other non-medical staff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,The data item is not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General description,"Percent of NHS staff by organisation, staff group and age band",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data collection and calculation,Extracted from the NHS Electronic Staff Record system. Staff groups are determined from NHS occupational codes - see linked manual for more detail.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency of publication,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data reference periods,From 30 September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Users, uses and context",See linked publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rounding applied,Rounded to 1 decimal place.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revisions information,There are no planned revisions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,"Percent of NHS staff by organisation, staff group and age band",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last update,24-Jan-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Next update,TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publishing organisation,Welsh Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source 1,NHS electronic staff record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source 2,"Workforce Services, NHS Wales Shared Services Partnership",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source 3,No drop down value selected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact email,stats.healthinfo@gov.wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designation,Management information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowest level of geographical disaggregation,Local health boards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographical coverage,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Languages covered,English and Welsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data licensing,"You may use and re-use this data free of charge in any format or medium, under the terms of the Open Government License - see http://www.nationalarchives.gov.uk/doc/open-government-licence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keywords,Staff; NHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistical quality,See linked publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weblinks,http://gov.wales/statistics-and-research/staff-directly-employed-nhs/?lang=en; http://www.hscic.gov.uk/article/2268/NHS-Occupation-Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
